property_title,availability_number,promotion_label,property_type,bedrooms,bathrooms,furnish_type,apart_size,rating,city,capacity,price,currency,date,month,day,year,quarter,rental_period
Tidy and Homey Studio at Tamansari The Hive Apartment By Travelio,1.0,Favourite,Apartment,Studio,1,Full Furnished,28 sqm,5.0,Cawang,2.0,5740000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic and Restful 2BR at Bassura City Apartment By Travelio,1.0,Flash Sale,Apartment,2,1,Full Furnished,28 sqm,5.0,Cipinang,3.0,4188690,IDR,2025-01-16,1,16,2025,1,monthly
Best 3BR Unfurnished with AC Apartment Green Bay Pluit By Travelio,1.0,GOOD DEAL,Apartment,3,1,Unfurnished,49 sqm,0,Pluit,0.0,4240000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite New Gatsu,1.0,tidak ada promo,Hotel,1,1,Full Furnished,21 sqm,0,Tanah Abang,0.0,3500000,IDR,2025-01-16,1,16,2025,1,monthly
Spacious and Comfort Stay 2BR Apartment Pejaten Park Residence By Travelio,1.0,tidak ada promo,Apartment,2,2,Full Furnished,75 sqm,4.9,Pejaten,3.0,12500000,IDR,2025-01-16,1,16,2025,1,monthly
Exclusive 2BR Empyreal The Epicentrum Kuningan Apartment By Travelio,1.0,Up To 1JT,Apartment,2,2,Full Furnished,86 sqm,4.9,Epicentrum,3.0,13190000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Setiabudi,1.0,tidak ada promo,Hotel,Studio,1,Full Furnished,21 sqm,0,Setiabudi,0.0,3800000,IDR,2025-01-16,1,16,2025,1,monthly
Modern Look and Comfortable 1BR Gold Coast Apartment PIK By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,51 sqm,5.0,Pantai Indah Kapuk,2.0,17350000,IDR,2025-01-16,1,16,2025,1,monthly
Strategic and Nice Studio at Daan Mogot City Apartment By Travelio,1.0,tidak ada promo,Apartment,Studio,1,Full Furnished,33 sqm,New,Daan Mogot,2.0,4440000,IDR,2025-01-16,1,16,2025,1,monthly
Nice Unfurnished 2BR Samesta East Point Apartment By Travelio,1.0,NEW,Apartment,2,1,Unfurnished,44 sqm,0,Cakung,0.0,2000000,IDR,2025-01-16,1,16,2025,1,monthly
Kost 41 A,1.0,NEW,Hotel,Studio,1,Full Furnished,21 sqm,0,Kebayoran Lama,0.0,3950000,IDR,2025-01-16,1,16,2025,1,monthly
Elegant and Spacious Studio at Kemang Mansion Apartment By Travelio,1.0,New,Apartment,Studio,1,Full Furnished,62 sqm,New,Kemang,2.0,13500000,IDR,2025-01-16,1,16,2025,1,monthly
Room Exclusive at Senen,1.0,Favourite,Hotel,Studio,1,Full Furnished,16 sqm,0,Senen,0.0,4000000,IDR,2025-01-16,1,16,2025,1,monthly
LeGreen Suite Senayan,1.0,Diskon hingga 5%,Hotel,Studio,1,Full Furnished,21 sqm,0,Senayan,0.0,4200000,IDR,2025-01-16,1,16,2025,1,monthly
Minimalist and Spacious 1BR Callia Apartment By Travelio,1.0,tidak ada promo,Apartment,1,1,Full Furnished,40 sqm,4.8,Pulomas,2.0,5765000,IDR,2025-01-16,1,16,2025,1,monthly
